Description,Amount,Type,Account
T-Mobile 5G Plan - NY,-330.97,Debit,Computer and Internet Expense
Microsoft 365 Subscription Online,-233.23,Debit,Computer and Internet Expense
AT&T Fiber (10/19/2025),-158.13,Debit,Computer and Internet Expense
T-Mobile 5G Plan (7/27/2025),-263.88,Debit,Computer and Internet Expense
Zoom Pro Account - CA,-49.47,Debit,Computer and Internet Expense
Microsoft 365 Subscription (9/7/2025),-174.08,Debit,Computer and Internet Expense
AT&T Fiber (12/10/2025),-205.59,Debit,Computer and Internet Expense
AT&T Fiber #2004,-363.76,Debit,Computer and Internet Expense
AT&T Fiber,-412.47,Debit,Computer and Internet Expense
Comcast Internet #7642,-296.36,Debit,Computer and Internet Expense
Verizon Hotspot #8526,-363.96,Debit,Computer and Internet Expense
Verizon Hotspot #3930,-133.39,Debit,Computer and Internet Expense
Verizon Hotspot,-178.93,Debit,Computer and Internet Expense
Microsoft 365 Subscription #2376,-23.36,Debit,Computer and Internet Expense
Comcast Internet - CA,-35.85,Debit,Computer and Internet Expense
Verizon Hotspot (10/7/2025),-228.39,Debit,Computer and Internet Expense
Zoom Pro Account,-432.73,Debit,Computer and Internet Expense
T-Mobile 5G Plan In-store,-265.36,Debit,Computer and Internet Expense
T-Mobile 5G Plan (3/20/2025),-344.61,Debit,Computer and Internet Expense
Zoom Pro Account #3502,-262.21,Debit,Computer and Internet Expense
Comcast Internet - NY,-59.42,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-471.5,Debit,Computer and Internet Expense
Verizon Hotspot (9/19/2025),-138.19,Debit,Computer and Internet Expense
AT&T Fiber (2/18/2025),-328.28,Debit,Computer and Internet Expense
Verizon Hotspot,-140.32,Debit,Computer and Internet Expense
Microsoft 365 Subscription (7/13/2025),-372.82,Debit,Computer and Internet Expense
Comcast Internet #3679,-257.69,Debit,Computer and Internet Expense
Zoom Pro Account Online,-432.79,Debit,Computer and Internet Expense
Comcast Internet,-233.83,Debit,Computer and Internet Expense
Comcast Internet In-store,-264.35,Debit,Computer and Internet Expense
AT&T Fiber #1082,-335.22,Debit,Computer and Internet Expense
T-Mobile 5G Plan #5853,-117.06,Debit,Computer and Internet Expense
Microsoft 365 Subscription - CA,-246.95,Debit,Computer and Internet Expense
Microsoft 365 Subscription - TX,-256.12,Debit,Computer and Internet Expense
Comcast Internet - NY,-131.1,Debit,Computer and Internet Expense
Zoom Pro Account #1553,-484.08,Debit,Computer and Internet Expense
T-Mobile 5G Plan (1/17/2025),-40.5,Debit,Computer and Internet Expense
AT&T Fiber (9/28/2025),-291.54,Debit,Computer and Internet Expense
T-Mobile 5G Plan (1/14/2025),-229.31,Debit,Computer and Internet Expense
Verizon Hotspot,-378.19,Debit,Computer and Internet Expense
Zoom Pro Account Online,-253.95,Debit,Computer and Internet Expense
AT&T Fiber - NY,-284.55,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-438.43,Debit,Computer and Internet Expense
T-Mobile 5G Plan,-217.8,Debit,Computer and Internet Expense
Comcast Internet,-201.77,Debit,Computer and Internet Expense
T-Mobile 5G Plan (10/17/2025),-285.49,Debit,Computer and Internet Expense
Comcast Internet #8242,-384.02,Debit,Computer and Internet Expense
Verizon Hotspot,-170.96,Debit,Computer and Internet Expense
T-Mobile 5G Plan (12/6/2025),-34.78,Debit,Computer and Internet Expense
T-Mobile 5G Plan #7660,-475.15,Debit,Computer and Internet Expense
T-Mobile 5G Plan (5/28/2025),-172.74,Debit,Computer and Internet Expense
Comcast Internet - CA,-366.4,Debit,Computer and Internet Expense
Comcast Internet - NY,-168.85,Debit,Computer and Internet Expense
Comcast Internet In-store,-9.73,Debit,Computer and Internet Expense
AT&T Fiber Online,-220.82,Debit,Computer and Internet Expense
AT&T Fiber - CA,-164.3,Debit,Computer and Internet Expense
AT&T Fiber,-92.3,Debit,Computer and Internet Expense
Comcast Internet Online,-114.4,Debit,Computer and Internet Expense
Comcast Internet #2300,-171.04,Debit,Computer and Internet Expense
Comcast Internet (12/28/2025),-299.76,Debit,Computer and Internet Expense
T-Mobile 5G Plan In-store,-172.84,Debit,Computer and Internet Expense
Comcast Internet - NY,-30.68,Debit,Computer and Internet Expense
Microsoft 365 Subscription (8/10/2025),-258.24,Debit,Computer and Internet Expense
T-Mobile 5G Plan,-39.14,Debit,Computer and Internet Expense
Comcast Internet (8/14/2025),-43.01,Debit,Computer and Internet Expense
Verizon Hotspot In-store,-417.33,Debit,Computer and Internet Expense
Comcast Internet (11/14/2025),-46.28,Debit,Computer and Internet Expense
Comcast Internet,-481.12,Debit,Computer and Internet Expense
AT&T Fiber #3877,-442.44,Debit,Computer and Internet Expense
Microsoft 365 Subscription #6617,-455.12,Debit,Computer and Internet Expense
T-Mobile 5G Plan Online,-359.82,Debit,Computer and Internet Expense
T-Mobile 5G Plan #9030,-328.86,Debit,Computer and Internet Expense
T-Mobile 5G Plan #7566,-116.38,Debit,Computer and Internet Expense
Microsoft 365 Subscription #6136,-13.53,Debit,Computer and Internet Expense
AT&T Fiber,-191.52,Debit,Computer and Internet Expense
AT&T Fiber - CA,-164.26,Debit,Computer and Internet Expense
Zoom Pro Account #5318,-429.17,Debit,Computer and Internet Expense
T-Mobile 5G Plan #7681,-371.76,Debit,Computer and Internet Expense
Comcast Internet (5/21/2025),-296.98,Debit,Computer and Internet Expense
AT&T Fiber (10/4/2025),-81.42,Debit,Computer and Internet Expense
T-Mobile 5G Plan,-469.87,Debit,Computer and Internet Expense
Verizon Hotspot - TX,-155.01,Debit,Computer and Internet Expense
Verizon Hotspot,-180.49,Debit,Computer and Internet Expense
AT&T Fiber (2/27/2025),-325.34,Debit,Computer and Internet Expense
Microsoft 365 Subscription #3163,-121.87,Debit,Computer and Internet Expense
Microsoft 365 Subscription #8663,-101.59,Debit,Computer and Internet Expense
T-Mobile 5G Plan (3/17/2025),-236.31,Debit,Computer and Internet Expense
T-Mobile 5G Plan #8729,-148.38,Debit,Computer and Internet Expense
AT&T Fiber In-store,-375.51,Debit,Computer and Internet Expense
Zoom Pro Account Online,-485.92,Debit,Computer and Internet Expense
Microsoft 365 Subscription #4313,-488.28,Debit,Computer and Internet Expense
T-Mobile 5G Plan,-424.43,Debit,Computer and Internet Expense
Microsoft 365 Subscription Online,-171.97,Debit,Computer and Internet Expense
AT&T Fiber,-493.75,Debit,Computer and Internet Expense
Microsoft 365 Subscription (6/19/2025),-82.11,Debit,Computer and Internet Expense
T-Mobile 5G Plan (8/15/2025),-411.43,Debit,Computer and Internet Expense
Microsoft 365 Subscription (8/14/2025),-27.57,Debit,Computer and Internet Expense
T-Mobile 5G Plan (6/18/2025),-370.36,Debit,Computer and Internet Expense
Zoom Pro Account - NY,-172.64,Debit,Computer and Internet Expense
Verizon Hotspot #1699,-287.12,Debit,Computer and Internet Expense
T-Mobile 5G Plan - NY,-257.21,Debit,Computer and Internet Expense
Comcast Internet (8/24/2025),-374.24,Debit,Computer and Internet Expense
T-Mobile 5G Plan (7/21/2025),-358.77,Debit,Computer and Internet Expense
Microsoft 365 Subscription (3/7/2025),-158.38,Debit,Computer and Internet Expense
Comcast Internet #9520,-48.01,Debit,Computer and Internet Expense
Zoom Pro Account,-393.31,Debit,Computer and Internet Expense
Microsoft 365 Subscription #1509,-204.62,Debit,Computer and Internet Expense
AT&T Fiber In-store,-170.26,Debit,Computer and Internet Expense
Microsoft 365 Subscription - CA,-416.4,Debit,Computer and Internet Expense
Verizon Hotspot #9996,-182.5,Debit,Computer and Internet Expense
T-Mobile 5G Plan (9/9/2025),-103.26,Debit,Computer and Internet Expense
Zoom Pro Account - CA,-376.75,Debit,Computer and Internet Expense
Zoom Pro Account #9557,-31.33,Debit,Computer and Internet Expense
AT&T Fiber (1/14/2025),-72.88,Debit,Computer and Internet Expense
Comcast Internet,-374.41,Debit,Computer and Internet Expense
Microsoft 365 Subscription Online,-181.93,Debit,Computer and Internet Expense
Microsoft 365 Subscription - TX,-303.47,Debit,Computer and Internet Expense
Comcast Internet - NY,-317.38,Debit,Computer and Internet Expense
T-Mobile 5G Plan,-114.91,Debit,Computer and Internet Expense
AT&T Fiber #5070,-358.24,Debit,Computer and Internet Expense
AT&T Fiber - NY,-272.74,Debit,Computer and Internet Expense
Verizon Hotspot #1830,-388.93,Debit,Computer and Internet Expense
Verizon Hotspot Online,-260.4,Debit,Computer and Internet Expense
Verizon Hotspot Online,-444.18,Debit,Computer and Internet Expense
Verizon Hotspot,-478.63,Debit,Computer and Internet Expense
Comcast Internet,-190.36,Debit,Computer and Internet Expense
Verizon Hotspot #5884,-209.15,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-289.42,Debit,Computer and Internet Expense
Comcast Internet #7370,-485.11,Debit,Computer and Internet Expense
AT&T Fiber,-125.17,Debit,Computer and Internet Expense
Zoom Pro Account (10/1/2025),-452.52,Debit,Computer and Internet Expense
Comcast Internet (1/6/2025),-301.02,Debit,Computer and Internet Expense
Verizon Hotspot,-347.78,Debit,Computer and Internet Expense
Microsoft 365 Subscription - CA,-37.57,Debit,Computer and Internet Expense
Zoom Pro Account In-store,-432.37,Debit,Computer and Internet Expense
Verizon Hotspot #2658,-477.79,Debit,Computer and Internet Expense
AT&T Fiber - TX,-261.04,Debit,Computer and Internet Expense
Microsoft 365 Subscription - TX,-260.97,Debit,Computer and Internet Expense
Comcast Internet - CA,-132.77,Debit,Computer and Internet Expense
Zoom Pro Account - NY,-19.39,Debit,Computer and Internet Expense
Verizon Hotspot,-441.84,Debit,Computer and Internet Expense
Verizon Hotspot - NY,-341.5,Debit,Computer and Internet Expense
Comcast Internet In-store,-186.34,Debit,Computer and Internet Expense
Verizon Hotspot #3609,-36.81,Debit,Computer and Internet Expense
Comcast Internet,-298.84,Debit,Computer and Internet Expense
AT&T Fiber - NY,-120.72,Debit,Computer and Internet Expense
AT&T Fiber - CA,-464.65,Debit,Computer and Internet Expense
AT&T Fiber Online,-145.58,Debit,Computer and Internet Expense
Comcast Internet - TX,-488.66,Debit,Computer and Internet Expense
AT&T Fiber (3/9/2025),-359.39,Debit,Computer and Internet Expense
Verizon Hotspot #9358,-208.71,Debit,Computer and Internet Expense
T-Mobile 5G Plan #1101,-37.6,Debit,Computer and Internet Expense
Zoom Pro Account,-440.43,Debit,Computer and Internet Expense
AT&T Fiber Online,-355.75,Debit,Computer and Internet Expense
Comcast Internet In-store,-176.8,Debit,Computer and Internet Expense
Microsoft 365 Subscription In-store,-95.7,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-145.78,Debit,Computer and Internet Expense
Comcast Internet (12/27/2025),-142.36,Debit,Computer and Internet Expense
T-Mobile 5G Plan - NY,-170.79,Debit,Computer and Internet Expense
T-Mobile 5G Plan (12/2/2025),-379.25,Debit,Computer and Internet Expense
Comcast Internet - CA,-268.81,Debit,Computer and Internet Expense
Microsoft 365 Subscription (1/1/2025),-355.09,Debit,Computer and Internet Expense
T-Mobile 5G Plan,-191.89,Debit,Computer and Internet Expense
Zoom Pro Account In-store,-88.52,Debit,Computer and Internet Expense
Zoom Pro Account (9/17/2025),-286.53,Debit,Computer and Internet Expense
Microsoft 365 Subscription Online,-170.59,Debit,Computer and Internet Expense
AT&T Fiber - CA,-271.1,Debit,Computer and Internet Expense
Comcast Internet #2074,-354.87,Debit,Computer and Internet Expense
Microsoft 365 Subscription #6269,-387.29,Debit,Computer and Internet Expense
Comcast Internet,-217.37,Debit,Computer and Internet Expense
Comcast Internet,-210.7,Debit,Computer and Internet Expense
AT&T Fiber - TX,-303.89,Debit,Computer and Internet Expense
T-Mobile 5G Plan - CA,-358.79,Debit,Computer and Internet Expense
Microsoft 365 Subscription #2777,-346.19,Debit,Computer and Internet Expense
T-Mobile 5G Plan,-8.81,Debit,Computer and Internet Expense
Microsoft 365 Subscription #3607,-224.39,Debit,Computer and Internet Expense
Zoom Pro Account #7180,-355.18,Debit,Computer and Internet Expense
Comcast Internet,-477.65,Debit,Computer and Internet Expense
AT&T Fiber,-479.88,Debit,Computer and Internet Expense
T-Mobile 5G Plan #2729,-368.71,Debit,Computer and Internet Expense
AT&T Fiber (12/3/2025),-369.19,Debit,Computer and Internet Expense
Comcast Internet #3829,-121.36,Debit,Computer and Internet Expense
Comcast Internet #9333,-391.98,Debit,Computer and Internet Expense
Zoom Pro Account (1/9/2025),-456.19,Debit,Computer and Internet Expense
AT&T Fiber #3953,-366.67,Debit,Computer and Internet Expense
Comcast Internet - TX,-263.7,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-220.1,Debit,Computer and Internet Expense
Comcast Internet #1921,-274.42,Debit,Computer and Internet Expense
AT&T Fiber Online,-390.65,Debit,Computer and Internet Expense
AT&T Fiber #9564,-266.34,Debit,Computer and Internet Expense
Microsoft 365 Subscription In-store,-211.93,Debit,Computer and Internet Expense
Zoom Pro Account Online,-155.38,Debit,Computer and Internet Expense
Comcast Internet (2/22/2025),-120.19,Debit,Computer and Internet Expense
Verizon Hotspot In-store,-218.51,Debit,Computer and Internet Expense
Zoom Pro Account,-299.57,Debit,Computer and Internet Expense
Comcast Internet #5928,-423.4,Debit,Computer and Internet Expense
AT&T Fiber (7/27/2025),-82.53,Debit,Computer and Internet Expense
Zoom Pro Account,-15.43,Debit,Computer and Internet Expense
Verizon Hotspot,-317.79,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-448.35,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-338.47,Debit,Computer and Internet Expense
Comcast Internet (3/21/2025),-422.68,Debit,Computer and Internet Expense
Comcast Internet In-store,-139.92,Debit,Computer and Internet Expense
Comcast Internet (2/23/2025),-391.82,Debit,Computer and Internet Expense
Zoom Pro Account (8/25/2025),-404.3,Debit,Computer and Internet Expense
Microsoft 365 Subscription - CA,-333.82,Debit,Computer and Internet Expense
AT&T Fiber Online,-367.24,Debit,Computer and Internet Expense
AT&T Fiber - NY,-198.01,Debit,Computer and Internet Expense
Microsoft 365 Subscription In-store,-341.46,Debit,Computer and Internet Expense
Zoom Pro Account (9/5/2025),-198.78,Debit,Computer and Internet Expense
T-Mobile 5G Plan - CA,-6.31,Debit,Computer and Internet Expense
Zoom Pro Account,-484.59,Debit,Computer and Internet Expense
Comcast Internet (1/14/2025),-80.23,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-193.52,Debit,Computer and Internet Expense
AT&T Fiber In-store,-496.33,Debit,Computer and Internet Expense
T-Mobile 5G Plan Online,-357.97,Debit,Computer and Internet Expense
Zoom Pro Account Online,-351.2,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-344.66,Debit,Computer and Internet Expense
T-Mobile 5G Plan In-store,-403.67,Debit,Computer and Internet Expense
AT&T Fiber Online,-246.56,Debit,Computer and Internet Expense
Zoom Pro Account #2542,-302.47,Debit,Computer and Internet Expense
Zoom Pro Account - TX,-344.61,Debit,Computer and Internet Expense
Verizon Hotspot Online,-271.51,Debit,Computer and Internet Expense
Comcast Internet (8/9/2025),-120.99,Debit,Computer and Internet Expense
Verizon Hotspot In-store,-280.52,Debit,Computer and Internet Expense
Zoom Pro Account In-store,-347.8,Debit,Computer and Internet Expense
Verizon Hotspot - TX,-243.36,Debit,Computer and Internet Expense
Comcast Internet Online,-398.56,Debit,Computer and Internet Expense
Zoom Pro Account - NY,-28.85,Debit,Computer and Internet Expense
Zoom Pro Account (4/17/2025),-107.54,Debit,Computer and Internet Expense
AT&T Fiber #1059,-7.37,Debit,Computer and Internet Expense
Verizon Hotspot - TX,-50.57,Debit,Computer and Internet Expense
Verizon Hotspot #5931,-72.97,Debit,Computer and Internet Expense
Comcast Internet #2887,-285.53,Debit,Computer and Internet Expense
T-Mobile 5G Plan (12/3/2025),-180.79,Debit,Computer and Internet Expense
AT&T Fiber,-369.06,Debit,Computer and Internet Expense
Zoom Pro Account (7/21/2025),-467.34,Debit,Computer and Internet Expense
Verizon Hotspot - CA,-19.73,Debit,Computer and Internet Expense
Comcast Internet (5/26/2025),-410.21,Debit,Computer and Internet Expense
Microsoft 365 Subscription (6/15/2025),-193.66,Debit,Computer and Internet Expense
Microsoft 365 Subscription,-412.47,Debit,Computer and Internet Expense
Microsoft 365 Subscription (10/7/2025),-446.44,Debit,Computer and Internet Expense
Comcast Internet (9/24/2025),-366.06,Debit,Computer and Internet Expense
Zoom Pro Account #3920,-172.35,Debit,Computer and Internet Expense
Comcast Internet #5768,-226.23,Debit,Computer and Internet Expense
Microsoft 365 Subscription - TX,-420.59,Debit,Computer and Internet Expense
Zoom Pro Account In-store,-134.37,Debit,Computer and Internet Expense
Zoom Pro Account #2047,-329.6,Debit,Computer and Internet Expense
AT&T Fiber - NY,-465.5,Debit,Computer and Internet Expense
Zoom Pro Account - NY,-151.38,Debit,Computer and Internet Expense
AT&T Fiber #2943,-173.78,Debit,Computer and Internet Expense
Verizon Hotspot #8590,-469.15,Debit,Computer and Internet Expense
Shopify Payout Fee #7890,-445.33,Debit,Merchant Account Fees
PayPal Fee #1580,-427.82,Debit,Merchant Account Fees
Square Transaction Fee - NY,-224.99,Debit,Merchant Account Fees
Square Transaction Fee (8/22/2025),-125.11,Debit,Merchant Account Fees
Shopify Payout Fee Online,-124.54,Debit,Merchant Account Fees
Etsy Transaction Fee #5819,-265.35,Debit,Merchant Account Fees
Intuit Merchant Fee Online,-59.74,Debit,Merchant Account Fees
Stripe Processing (3/27/2025),-477.25,Debit,Merchant Account Fees
Intuit Merchant Fee,-282.76,Debit,Merchant Account Fees
Stripe Processing (6/16/2025),-447.48,Debit,Merchant Account Fees
Square Transaction Fee,-207.81,Debit,Merchant Account Fees
Square Transaction Fee #5012,-12.22,Debit,Merchant Account Fees
Intuit Merchant Fee - NY,-323.93,Debit,Merchant Account Fees
Square Transaction Fee,-405.05,Debit,Merchant Account Fees
Square Transaction Fee - CA,-52.03,Debit,Merchant Account Fees
Intuit Merchant Fee #1636,-180.08,Debit,Merchant Account Fees
Etsy Transaction Fee,-277.4,Debit,Merchant Account Fees
Intuit Merchant Fee (9/9/2025),-368.61,Debit,Merchant Account Fees
Etsy Transaction Fee (1/21/2025),-393.57,Debit,Merchant Account Fees
Intuit Merchant Fee - NY,-111.34,Debit,Merchant Account Fees
Stripe Processing - NY,-422.49,Debit,Merchant Account Fees
Etsy Transaction Fee #2798,-221.79,Debit,Merchant Account Fees
PayPal Fee #8331,-37.84,Debit,Merchant Account Fees
Intuit Merchant Fee Online,-145.35,Debit,Merchant Account Fees
Stripe Processing - NY,-170.56,Debit,Merchant Account Fees
PayPal Fee (4/21/2025),-101.99,Debit,Merchant Account Fees
Stripe Processing,-396.77,Debit,Merchant Account Fees
Etsy Transaction Fee - NY,-318.67,Debit,Merchant Account Fees
Etsy Transaction Fee,-89.43,Debit,Merchant Account Fees
Etsy Transaction Fee - NY,-98.69,Debit,Merchant Account Fees
Square Transaction Fee,-68.56,Debit,Merchant Account Fees
PayPal Fee,-53.26,Debit,Merchant Account Fees
Shopify Payout Fee In-store,-306.75,Debit,Merchant Account Fees
Etsy Transaction Fee #5215,-442.71,Debit,Merchant Account Fees
Square Transaction Fee (1/22/2025),-299.75,Debit,Merchant Account Fees
Shopify Payout Fee,-102.27,Debit,Merchant Account Fees
Shopify Payout Fee - CA,-10.66,Debit,Merchant Account Fees
Square Transaction Fee,-177.91,Debit,Merchant Account Fees
PayPal Fee - CA,-25.99,Debit,Merchant Account Fees
Stripe Processing (12/24/2025),-379.69,Debit,Merchant Account Fees
Square Transaction Fee (10/20/2025),-22.61,Debit,Merchant Account Fees
Square Transaction Fee (10/23/2025),-82.69,Debit,Merchant Account Fees
PayPal Fee - CA,-190.88,Debit,Merchant Account Fees
Shopify Payout Fee In-store,-225.69,Debit,Merchant Account Fees
Shopify Payout Fee #3874,-273.31,Debit,Merchant Account Fees
Shopify Payout Fee,-161.63,Debit,Merchant Account Fees
Intuit Merchant Fee - TX,-397.71,Debit,Merchant Account Fees
PayPal Fee In-store,-170.83,Debit,Merchant Account Fees
Intuit Merchant Fee - NY,-219.17,Debit,Merchant Account Fees
Square Transaction Fee - NY,-33.95,Debit,Merchant Account Fees
Shopify Payout Fee,-278.35,Debit,Merchant Account Fees
Square Transaction Fee #2136,-34.82,Debit,Merchant Account Fees
Square Transaction Fee In-store,-310.91,Debit,Merchant Account Fees
PayPal Fee,-95.11,Debit,Merchant Account Fees
Stripe Processing (2/21/2025),-23.91,Debit,Merchant Account Fees
Stripe Processing In-store,-116.5,Debit,Merchant Account Fees
Intuit Merchant Fee In-store,-120.88,Debit,Merchant Account Fees
Shopify Payout Fee (12/9/2025),-164.24,Debit,Merchant Account Fees
Etsy Transaction Fee In-store,-183.95,Debit,Merchant Account Fees
Stripe Processing In-store,-36.99,Debit,Merchant Account Fees
Square Transaction Fee (7/8/2025),-152.98,Debit,Merchant Account Fees
Etsy Transaction Fee #9511,-34.79,Debit,Merchant Account Fees
Stripe Processing - NY,-429.38,Debit,Merchant Account Fees
Shopify Payout Fee,-254.48,Debit,Merchant Account Fees
PayPal Fee #4921,-459.35,Debit,Merchant Account Fees
Etsy Transaction Fee - CA,-33.61,Debit,Merchant Account Fees
PayPal Fee (1/17/2025),-126.75,Debit,Merchant Account Fees
PayPal Fee Online,-135.13,Debit,Merchant Account Fees
Stripe Processing #8811,-393.93,Debit,Merchant Account Fees
PayPal Fee Online,-323.85,Debit,Merchant Account Fees
Intuit Merchant Fee (3/7/2025),-168.2,Debit,Merchant Account Fees
Square Transaction Fee (8/24/2025),-335.86,Debit,Merchant Account Fees
Square Transaction Fee,-499.48,Debit,Merchant Account Fees
Shopify Payout Fee,-372.89,Debit,Merchant Account Fees
Square Transaction Fee (1/3/2025),-373.77,Debit,Merchant Account Fees
Stripe Processing Online,-423.63,Debit,Merchant Account Fees
PayPal Fee - TX,-94.57,Debit,Merchant Account Fees
Etsy Transaction Fee In-store,-489.63,Debit,Merchant Account Fees
PayPal Fee - CA,-333.34,Debit,Merchant Account Fees
Shopify Payout Fee,-192.49,Debit,Merchant Account Fees
Square Transaction Fee #4517,-265.93,Debit,Merchant Account Fees
Shopify Payout Fee (10/4/2025),-327.86,Debit,Merchant Account Fees
Stripe Processing,-25.86,Debit,Merchant Account Fees
Etsy Transaction Fee (7/7/2025),-103.94,Debit,Merchant Account Fees
PayPal Fee,-324.12,Debit,Merchant Account Fees
Intuit Merchant Fee - NY,-239.12,Debit,Merchant Account Fees
Shopify Payout Fee,-171.3,Debit,Merchant Account Fees
Etsy Transaction Fee,-485.48,Debit,Merchant Account Fees
PayPal Fee In-store,-385.99,Debit,Merchant Account Fees
Etsy Transaction Fee (12/23/2025),-180.41,Debit,Merchant Account Fees
Shopify Payout Fee - CA,-61.74,Debit,Merchant Account Fees
PayPal Fee In-store,-399.39,Debit,Merchant Account Fees
Intuit Merchant Fee - TX,-417.33,Debit,Merchant Account Fees
Stripe Processing In-store,-239.59,Debit,Merchant Account Fees
Stripe Processing - CA,-491.25,Debit,Merchant Account Fees
Square Transaction Fee (6/8/2025),-102.87,Debit,Merchant Account Fees
Shopify Payout Fee - CA,-90.84,Debit,Merchant Account Fees
Stripe Processing - TX,-238.25,Debit,Merchant Account Fees
PayPal Fee (7/25/2025),-37.44,Debit,Merchant Account Fees
Square Transaction Fee Online,-190.21,Debit,Merchant Account Fees
PayPal Fee In-store,-107.94,Debit,Merchant Account Fees
PayPal Fee (4/25/2025),-60.62,Debit,Merchant Account Fees
Square Transaction Fee #8224,-275.64,Debit,Merchant Account Fees
Stripe Processing,-209.31,Debit,Merchant Account Fees
Shopify Payout Fee #5842,-465.45,Debit,Merchant Account Fees
Square Transaction Fee (1/22/2025),-295.59,Debit,Merchant Account Fees
Etsy Transaction Fee In-store,-36.86,Debit,Merchant Account Fees
Intuit Merchant Fee,-337.43,Debit,Merchant Account Fees
PayPal Fee Online,-439.24,Debit,Merchant Account Fees
Shopify Payout Fee #7592,-214.86,Debit,Merchant Account Fees
Square Transaction Fee,-125.84,Debit,Merchant Account Fees
Square Transaction Fee In-store,-89.79,Debit,Merchant Account Fees
Square Transaction Fee - TX,-362.87,Debit,Merchant Account Fees
Square Transaction Fee In-store,-194.7,Debit,Merchant Account Fees
Stripe Processing In-store,-345.28,Debit,Merchant Account Fees
Shopify Payout Fee (6/9/2025),-197.37,Debit,Merchant Account Fees
PayPal Fee Online,-72.93,Debit,Merchant Account Fees
PayPal Fee - TX,-301.78,Debit,Merchant Account Fees
Square Transaction Fee - NY,-164.91,Debit,Merchant Account Fees
Etsy Transaction Fee - CA,-69.49,Debit,Merchant Account Fees
Stripe Processing #5578,-164.18,Debit,Merchant Account Fees
Shopify Payout Fee,-232.43,Debit,Merchant Account Fees
Intuit Merchant Fee Online,-446.0,Debit,Merchant Account Fees
PayPal Fee (10/20/2025),-274.89,Debit,Merchant Account Fees
Intuit Merchant Fee Online,-355.64,Debit,Merchant Account Fees
Stripe Processing Online,-308.45,Debit,Merchant Account Fees
Shopify Payout Fee #8259,-37.56,Debit,Merchant Account Fees
Intuit Merchant Fee In-store,-443.08,Debit,Merchant Account Fees
Etsy Transaction Fee,-347.91,Debit,Merchant Account Fees
Intuit Merchant Fee - TX,-46.37,Debit,Merchant Account Fees
Etsy Transaction Fee #1968,-85.93,Debit,Merchant Account Fees
Shopify Payout Fee (2/5/2025),-437.56,Debit,Merchant Account Fees
Shopify Payout Fee,-113.57,Debit,Merchant Account Fees
Intuit Merchant Fee - TX,-253.26,Debit,Merchant Account Fees
Square Transaction Fee In-store,-94.14,Debit,Merchant Account Fees
Intuit Merchant Fee - NY,-67.16,Debit,Merchant Account Fees
Intuit Merchant Fee #9922,-370.5,Debit,Merchant Account Fees
Stripe Processing #3241,-163.77,Debit,Merchant Account Fees
Square Transaction Fee Online,-221.99,Debit,Merchant Account Fees
Stripe Processing Online,-256.22,Debit,Merchant Account Fees
Square Transaction Fee - TX,-403.97,Debit,Merchant Account Fees
PayPal Fee - NY,-126.63,Debit,Merchant Account Fees
Square Transaction Fee (5/1/2025),-28.13,Debit,Merchant Account Fees
PayPal Fee #6596,-185.73,Debit,Merchant Account Fees
Intuit Merchant Fee In-store,-103.21,Debit,Merchant Account Fees
Square Transaction Fee - CA,-117.24,Debit,Merchant Account Fees
PayPal Fee Online,-25.16,Debit,Merchant Account Fees
Intuit Merchant Fee - TX,-473.5,Debit,Merchant Account Fees
Intuit Merchant Fee - TX,-28.63,Debit,Merchant Account Fees
Etsy Transaction Fee - TX,-58.32,Debit,Merchant Account Fees
Square Transaction Fee In-store,-27.47,Debit,Merchant Account Fees
Intuit Merchant Fee - TX,-480.15,Debit,Merchant Account Fees
Etsy Transaction Fee Online,-44.54,Debit,Merchant Account Fees
Etsy Transaction Fee (4/5/2025),-339.73,Debit,Merchant Account Fees
Intuit Merchant Fee In-store,-76.57,Debit,Merchant Account Fees
PayPal Fee - CA,-84.37,Debit,Merchant Account Fees
Intuit Merchant Fee (2/23/2025),-130.58,Debit,Merchant Account Fees
Shopify Payout Fee #3588,-97.39,Debit,Merchant Account Fees
Etsy Transaction Fee #5159,-318.36,Debit,Merchant Account Fees
Square Transaction Fee - TX,-175.52,Debit,Merchant Account Fees
Stripe Processing,-172.29,Debit,Merchant Account Fees
Square Transaction Fee - TX,-209.79,Debit,Merchant Account Fees
Square Transaction Fee (9/5/2025),-325.59,Debit,Merchant Account Fees
Shopify Payout Fee #1627,-49.67,Debit,Merchant Account Fees
Intuit Merchant Fee - CA,-444.01,Debit,Merchant Account Fees
Stripe Processing In-store,-357.02,Debit,Merchant Account Fees
Intuit Merchant Fee,-199.72,Debit,Merchant Account Fees
Etsy Transaction Fee,-15.16,Debit,Merchant Account Fees
Intuit Merchant Fee In-store,-176.92,Debit,Merchant Account Fees
Etsy Transaction Fee,-128.88,Debit,Merchant Account Fees
PayPal Fee #7670,-215.47,Debit,Merchant Account Fees
